2 1:0.365183 2:0.0361111 3:0.136364 4:0.0214746 5:0.226098 6:0.284249 7:0.834646 8:0.874016 9:0.582677 10:0.205911 13:1 31:1
2 1:0.503752 2:0.691667 3:0.272727 4:0.0909091 5:0.290698 6:0.175355 7:0.704724 8:0.984252 9:0.814961 10:0.363167 13:1 47:1
2 1:0.566283 2:0.422222 3:0.121212 4:0.365068 5:0.307494 6:0.74315 7:0.905512 8:0.944882 9:0.559055 10:0.889865 11:1 26:1
2 1:0.357679 2:0.452778 3:0.19697 4:0.0858984 5:0.219638 6:0.352677 7:0.913386 8:0.956693 9:0.551181 10:0.304057 13:1 16:1
1 1:0.672336 2:0.830556 3:0.30303 4:0.586256 5:0.71447 6:0.220177 7:0.629921 8:0.897638 9:0.814961 10:0.109438 13:1 38:1
2 1:0.51976 2:0.291667 3:0.272727 4:0.319256 5:0.355297 6:0.145145 7:0.976378 8:0.84252 9:0.346457 10:0.0869929 11:1 44:1
1 1:0.0905453 2:0.988889 3:0.424242 4:0.115963 5:0.24677 6:0.0269777 7:0.641732 8:0.69685 9:0.562992 10:0.038617 14:1 24:1
2 1:0.457229 2:0.558333 3:0.166667 4:0.214746 5:0.299742 6:0.532809 7:0.846457 8:0.984252 9:0.661417 10:0.254287 13:1 40:1
1 1:0.305653 2:0.00277778 3:0.151515 4:0.251253 5:0.416021 6:0.0573275 7:0.811024 8:0.870079 9:0.602362 10:0.0508853 14:1 24:1
2 1:0.374187 2:0.125 3:0.166667 4:0.0644238 5:0.232558 6:0.149501 7:0.877953 8:0.846457 9:0.492126 10:0.31047 11:1 44:1
2 1:0.608804 2:0.180556 3:0.257576 4:0.182534 5:0.25969 6:0.354644 7:0.92126 8:0.795276 9:0.374016 10:0.412937 13:1 46:1
2 1:0.436718 2:0.816667 3:0.227273 4:0.19184 5:0.27261 6:0.297597 7:0.69685 8:0.925197 9:0.779528 10:0.292765 11:1 43:1
1 1:0.851926 2:0.130556 3:0.181818 4:0.107373 5:0.312661 6:0.223971 7:0.88189 8:0.838583 9:0.476378 10:0.177889 12:1 54:1
1 1:0.135568 2:0.105556 3:0.484848 4:0.173228 5:0.379845 6:0.0604187 7:0.799213 8:0.606299 9:0.259843 10:0.0609229 14:1 20:1
2 1:0.554777 2:0.588889 3:0.121212 4:0.367931 5:0.357881 6:0.217648 7:0.84252 8:0.972441 9:0.669291 10:0.185139 13:1 45:1
1 1:0.928964 2:0.0444444 3:0.257576 4:0.674302 5:0.620155 6:0.689757 7:0.795276 8:0.795276 9:0.519685 10:0.42897 13:1 54:1
2 1:0.536268 2:0.194444 3:0.151515 4:0.128848 5:0.24677 6:0.505691 7:0.909449 8:0.866142 9:0.472441 10:0.5925 11:1 26:1
2 1:0.693347 2:0.961111 3:0.106061 4:0.59413 5:0.321705 6:0.21006 7:0.814961 8:0.901575 9:0.633858 10:0.366513 12:1 37:1
2 1:0.513757 3:0.0151515 5:0.223514 6:0.834059 7:0.854331 8:0.929134 9:0.614173 10:0.666945 11:1 44:1
1 1:0.496748 2:0.35 3:0.409091 4:0.578382 5:0.317829 6:0.322186 7:0.996063 8:0.830709 9:0.26378 10:0.226126 13:1 27:1
1 1:0.622311 2:0.791667 3:0.227273 4:0.107373 5:0.239018 6:0.5137 7:0.704724 8:0.940945 9:0.787402 10:0.113621 11:1 43:1
2 1:0.636818 2:0.286111 3:0.151515 4:0.251253 5:0.264858 6:0.48068 7:0.933071 8:0.893701 9:0.472441 10:0.664018 11:1 43:1
1 1:0.583292 2:0.258333 3:0.151515 5:0.223514 6:0.37024 7:0.933071 8:0.88189 9:0.464567 10:0.192806 13:1 36:1
2 1:0.54027 2:0.794444 3:0.166667 4:0.279885 5:0.23385 6:0.27905 7:0.744094 8:0.944882 9:0.748031 10:0.153353 13:1 37:1
